Publication(city=Deva, temperature=38.435734, windSpeed=56.079426, rain=0.6843591, direction=N)
Publication(city=Constanța, temperature=14.359726, windSpeed=69.40819, rain=0.5425457, direction=E)
Publication(city=Luduș, temperature=-12.17592, windSpeed=49.35327, rain=0.9539583, direction=SE)
Publication(city=Toplița, temperature=-11.707985, windSpeed=15.076525, rain=0.33512002, direction=NE)
Publication(city=Onești, temperature=-16.473097, windSpeed=21.353344, rain=0.3058319, direction=NW)
Publication(city=Ocna Mureș, temperature=-18.87903, windSpeed=50.585987, rain=0.79190624, direction=SW)
Publication(city=Timișoara, temperature=38.158085, windSpeed=10.045518, rain=1.0305731, direction=SW)
Publication(city=Sebeș, temperature=10.917015, windSpeed=22.006676, rain=1.0255984, direction=SW)
Publication(city=Giurgiu, temperature=-14.473536, windSpeed=6.205184, rain=0.48991597, direction=SW)
Publication(city=Buzău, temperature=4.6622925, windSpeed=26.14758, rain=0.33530208, direction=NW)
Publication(city=Vicovu de Sus, temperature=8.674755, windSpeed=78.76143, rain=0.5632249, direction=W)
Publication(city=Buftea, temperature=28.67273, windSpeed=3.1682224, rain=0.9083562, direction=W)
Publication(city=Sângeorgiu de Pădure, temperature=26.6269, windSpeed=54.34087, rain=0.5149995, direction=S)
Publication(city=Cugir, temperature=33.528698, windSpeed=75.3547, rain=0.4854893, direction=S)
Publication(city=Petrila, temperature=33.63836, windSpeed=36.432274, rain=0.8386121, direction=SW)
Publication(city=Tismana, temperature=-1.8431473, windSpeed=68.82453, rain=1.0048275, direction=E)
Publication(city=Târgu Jiu, temperature=7.572235, windSpeed=59.928528, rain=1.0103914, direction=NE)
Publication(city=Lupeni, temperature=18.748058, windSpeed=35.044292, rain=0.65367377, direction=NW)
Publication(city=Jibou, temperature=-10.42073, windSpeed=14.120353, rain=0.8416412, direction=S)
Publication(city=Motru, temperature=-19.280094, windSpeed=17.24686, rain=0.599134, direction=NE)
Publication(city=Bucharest, temperature=33.558292, windSpeed=3.316266, rain=0.5842006, direction=W)
Publication(city=Turtucaia, temperature=17.943272, windSpeed=39.42258, rain=0.9152104, direction=NE)
Publication(city=Marghita, temperature=17.383488, windSpeed=38.865623, rain=0.5297239, direction=S)
Publication(city=Jibou, temperature=-4.64867, windSpeed=39.116306, rain=0.33515397, direction=S)
Publication(city=Săliște, temperature=21.435802, windSpeed=50.390694, rain=0.60516584, direction=S)
Publication(city=Roman, temperature=-11.817182, windSpeed=3.9097025, rain=0.6027227, direction=NE)
Publication(city=Sângeorgiu de Pădure, temperature=7.4944973, windSpeed=52.370857, rain=1.0076449, direction=SE)
Publication(city=Iași, temperature=4.6315002, windSpeed=59.895798, rain=0.3521036, direction=NE)
Publication(city=Roman, temperature=-4.973816, windSpeed=45.399727, rain=0.86022586, direction=SE)
Publication(city=Toplița, temperature=18.227406, windSpeed=30.12946, rain=0.6278783, direction=NW)
Publication(city=Odorheiu Secuiesc, temperature=-4.689207, windSpeed=18.948511, rain=0.5627347, direction=NE)
Publication(city=Onești, temperature=36.690742, windSpeed=10.265172, rain=0.6492692, direction=S)
Publication(city=Constanța, temperature=19.134987, windSpeed=20.358395, rain=0.5759493, direction=N)
Publication(city=Brăila, temperature=10.0613785, windSpeed=18.219057, rain=0.72881055, direction=NE)
Publication(city=Lupeni, temperature=8.139534, windSpeed=73.87121, rain=0.7111345, direction=NE)
Publication(city=Petrila, temperature=-13.546684, windSpeed=67.09984, rain=0.47489685, direction=SW)
Publication(city=Vaslui, temperature=-9.9020815, windSpeed=29.100658, rain=0.30870262, direction=SE)
Publication(city=Tecuci, temperature=11.768497, windSpeed=28.280016, rain=1.0127376, direction=NW)
Publication(city=Petrila, temperature=-14.316132, windSpeed=34.50327, rain=0.4822049, direction=SW)
Publication(city=Târgoviște, temperature=30.53075, windSpeed=60.414562, rain=0.3361306, direction=NE)
Publication(city=Mioveni, temperature=20.637974, windSpeed=45.75654, rain=0.6732956, direction=S)
Publication(city=Dorohoi, temperature=2.326067, windSpeed=56.56902, rain=0.86973304, direction=SW)
Publication(city=Suceava, temperature=-3.3985596, windSpeed=69.83498, rain=0.40849867, direction=N)
Publication(city=Zalău, temperature=12.718868, windSpeed=19.152424, rain=0.43956515, direction=S)
Publication(city=Botoșani, temperature=23.498432, windSpeed=59.71932, rain=0.80295426, direction=W)
Publication(city=Gheorgheni, temperature=25.667858, windSpeed=79.486115, rain=0.393364, direction=SE)
Publication(city=Buftea, temperature=-19.770168, windSpeed=76.83207, rain=0.8846072, direction=NE)
Publication(city=Buftea, temperature=-15.457504, windSpeed=32.498405, rain=0.8712239, direction=SW)
Publication(city=Făgăraș, temperature=21.86998, windSpeed=60.238968, rain=0.83749014, direction=NW)
Publication(city=Ocna Mureș, temperature=0.08981323, windSpeed=34.841583, rain=0.839091, direction=SE)
Publication(city=Panciu, temperature=-9.1100445, windSpeed=74.685165, rain=0.61350536, direction=NW)
Publication(city=Piatra Neamț, temperature=28.96717, windSpeed=47.96976, rain=0.9488735, direction=SE)
Publication(city=Sângeorgiu de Pădure, temperature=37.50647, windSpeed=20.025345, rain=1.0566192, direction=N)
Publication(city=Reșița, temperature=27.442818, windSpeed=69.04065, rain=0.3264152, direction=NE)
Publication(city=Comănești, temperature=-11.037052, windSpeed=69.47959, rain=0.5901613, direction=W)
Publication(city=Sângeorgiu de Pădure, temperature=-5.315426, windSpeed=72.67326, rain=0.92932075, direction=NW)
Publication(city=Gheorgheni, temperature=37.653904, windSpeed=74.97985, rain=0.95918584, direction=SW)
Publication(city=Vulcan, temperature=8.540224, windSpeed=10.719544, rain=0.8528302, direction=N)
Publication(city=Dragomirești, temperature=-12.895391, windSpeed=38.183765, rain=0.60805655, direction=S)
Publication(city=Jibou, temperature=34.095947, windSpeed=9.724488, rain=1.0919876, direction=NW)
Publication(city=Suceava, temperature=4.3622303, windSpeed=34.379803, rain=0.4967336, direction=E)
Publication(city=Baia Mare, temperature=2.2854023, windSpeed=56.985252, rain=1.0061867, direction=N)
Publication(city=Săcele, temperature=18.882187, windSpeed=3.399649, rain=1.056286, direction=W)
Publication(city=Sebeș, temperature=38.72261, windSpeed=47.65628, rain=0.8734086, direction=W)
Publication(city=Luduș, temperature=9.347542, windSpeed=73.92214, rain=0.47407043, direction=NE)
Publication(city=Buzău, temperature=38.44345, windSpeed=53.475235, rain=0.7691673, direction=S)
Publication(city=Târgu Mureș, temperature=28.862667, windSpeed=50.054474, rain=0.356976, direction=NE)
Publication(city=Hunedoara, temperature=26.614433, windSpeed=38.073704, rain=0.9836209, direction=SW)
Publication(city=Caransebeș, temperature=11.590164, windSpeed=21.567904, rain=0.31539, direction=SE)
Publication(city=Botoșani, temperature=28.00438, windSpeed=17.169977, rain=0.49970394, direction=SE)
Publication(city=Marghita, temperature=24.773956, windSpeed=29.707718, rain=0.6412866, direction=S)
Publication(city=Galați, temperature=-15.105976, windSpeed=7.5695114, rain=0.3455022, direction=S)
Publication(city=Odorheiu Secuiesc, temperature=10.136227, windSpeed=14.617071, rain=0.45975268, direction=S)
Publication(city=Făgăraș, temperature=-13.75962, windSpeed=65.6991, rain=0.5013996, direction=S)
Publication(city=Sângeorgiu de Pădure, temperature=-15.971752, windSpeed=36.268204, rain=0.35615012, direction=SE)
Publication(city=Călărași, temperature=-20.252777, windSpeed=52.83732, rain=0.7752414, direction=E)
Publication(city=Sebeș, temperature=1.7900467, windSpeed=57.05388, rain=0.7044847, direction=NE)
Publication(city=Dorohoi, temperature=-15.108412, windSpeed=19.207413, rain=0.6878649, direction=NE)
Publication(city=Ocna Mureș, temperature=-0.67930794, windSpeed=11.575377, rain=0.9245533, direction=E)
Publication(city=Baia Mare, temperature=-19.530977, windSpeed=5.7065587, rain=0.7420738, direction=NW)
Publication(city=Onești, temperature=31.292408, windSpeed=65.52963, rain=0.981
